# L-DO — fallible multi-value do/error under a catch (plan Phase 5): the body
# nets N values on no-raise but 1 Error on raise; needs the variable-arity
# residual model (OpStackMark/OpDropToMark across the catch merge).
# GRADUATED 2026-07-14 (the mark-window island, L-DO part 2b): the
# error-over-the-region rows and the StructUtil.parse raising twin moved to
# lang/spec/bytecode-migrated.tsv — the residual islands verbatim from an
# OpStackMark via OpCallDynMixedFromMark. The def-msg rows and the bare
# module-export row below keep their sound refusals (a promoted def read /
# a non-event region entry decline the window).
# RE-PINNED 2026-07-30 (design/FN-VALUE-DISPATCH.0.md): the def-msg rows'
# region call fails dispatch, which now raises AT THE CALL — inside this very
# `do` — so the region's own `error […]` handler catches it and the program
# yields the code as a value. It used to surface from the end-of-run residue
# drain, outside every handler. The COMPILE status is unchanged: still a sound
# refusal, which is what this ledger tracks.
import module [ def dec fn [[bad:Boolean x:Any] [Any] [ if bad [raise bad_input "boom"] [x] ]] def boom fn [[x:Any] [Any] [ raise bad_input "always" ]] export "M" {dec: dec/r, boom: boom/r} ] end def msg (do [(true 5 M.dec) "no-raise"] error [dot code])  msg	uncalled_function/q
import module [ def dec fn [[bad:Boolean x:Any] [Any] [ if bad [raise bad_input "boom"] [x] ]] def boom fn [[x:Any] [Any] [ raise bad_input "always" ]] export "M" {dec: dec/r, boom: boom/r} ] end def msg (do [(false 5 M.dec) "no-raise"] error [dot code])  msg	uncalled_function/q
# DISCOVERY (2026-07-13): the next row COMPILES natively today — parse has a
# pure ReturnsFn dry-pass, so with a CONSTANT argument the checker proves the
# call cannot raise at this input and soundly seats the exact arity. It stays
# here unledgered as a green pin (the must-COMPILE arm guards it); the Go
# test's fallback-list comment (bytecode_do_catch_test.go) predates this.
import "aql:struct-util"  def g StructUtil.parse/r  do [(g "x") 2] error [dot code]	'x' 2
import module [ def dec fn [[bad:Boolean x:Any] [Any] [ if bad [raise bad_input "boom"] [x] ]] def boom fn [[x:Any] [Any] [ raise bad_input "always" ]] export "M" {dec: dec/r, boom: boom/r} ] end do [M 3] error [dot code]	ModuleExport(M){dec boom} 3
# PR #280 review (2026-07-20): a BRANCH-VARIANT multi-out region — the body
# nets 0 or 2 values by arm, no raise involved — is variadic for the same
# reason the fallible rows are: its runtime count differs from any static
# seat. Promoted under a dirty-stack prefix (the variation differential's
# prefix-stack transform found it), the stores would pop values the short
# path never produced; lowerCall's store-prologue gate refuses and the
# interpreter owns the shape.
7 def b true  do [1 2 (if b [] [9 9])]	7 1 2
