# AQL Language Specification: convert <Ideal> to Map / List
# Format: input<TAB>expected<TAB>description
#
# Every Ideal value can be converted to a Map or List via
# `convert Map <ideal>` / `convert List <ideal>`. The conversion is a
# per-type capability (IdealConverter): concrete Ideals project
# meaningfully, and the base Ideal — the fallback for any Ideal that does
# NOT override (e.g. a bare native Ideal) — yields {} / []. The
# fallback is exercised in lang/go/native/convert_ideal_test.go; the
# built-in projections are below.
#
# ─────────────────────────────────────────────────────────────────────
# §1  Class instance → its fields
def Foo (class {x:Integer}) convert Map (make Foo {x:5})	{x:5}	a class instance projects to its fields
def Foo (class {x:Integer}) convert List (make Foo {x:5})	[5]	…and to its field values
def Foo (class {x:Integer}) typeof (convert Map (make Foo {x:5}))	Map	result is a Map
def Foo (class {x:Integer}) typeof (convert List (make Foo {x:5}))	List	result is a List
def E (class {}) convert Map (make E {})	{}	an empty class instance → empty Map
def E (class {}) convert List (make E {})	[]	an empty class instance → empty List
#
# §2  ModuleExport → its exported fields
import module [export "Foo" {a:1 b:2}] convert Map Foo	{a:1 b:2}	a ModuleExport projects to its exports
import module [export "Foo" {a:1 b:2}] convert List Foo	[1 2]	…and to the export values
#
# §3  Module → its descriptor (id / kind / file / folder / exports)
import module [export "Foo" {a:1}] convert Map Foo.$module	{name:'' kind:'inline' file:'' folder:'' exports:['Foo']}	a Module projects to its descriptor
import module [export "Foo" {a:1}] convert List Foo.$module	['Foo']	…and to its export names
#
# §4  negative — an Ideal converts only to Map or List
def Foo (class {}) convert Integer (make Foo {})	ERROR:signature	no Ideal→Scalar convert
#
# §5  Matrix / Tensor → nested rows (List) and {shape values} (Map)
import "aql:matrix-util" convert List (MatrixUtil.eye 2)	[[1.0 0.0] [0.0 1.0]]	a matrix → nested rows
import "aql:matrix-util" convert Map (MatrixUtil.eye 2)	{shape:[2 2] values:[1.0 0.0 0.0 1.0]}	…and a shape/values map
