# AQL Language Specification: the aql:emitlang module + the core `emit` word
# Format: input<TAB>expected<TAB>description
#
# `emit <kind> <opts?> <data>` is the symmetric inverse of `parse`: it expands
# at the call site to the STANDARD emitter call
# `EmitLang get emit_<kind> <data> <opts> end`. The `data` is the REQUIRED LAST
# surface arg and `opts` is the optional MIDDLE one — disambiguated by arity.
# The kind is OPTIONAL: bare `emit <data>` routes to emit_auto, which picks the
# value's natural format (Map/List/scalar/Error → json, Table → csv, Xml → xml).
# Every emitter traverses the value through the canonical walk engine — one code
# path for all formats. `EmitLang.register` installs AQL fns as emitters;
# `EmitLang.kinds` lists them. A shape a format cannot represent raises
# emit_unsupported; an unknown explicit kind raises emit_unknown_lang.
# (Emit results are Strings, so the canonical expected form is single-quoted.)
#
# ─────────────────────────────────────────────────────────────────────
# §1  emit — auto (natural format) and explicit json
import "aql:emitlang"  emit {a:1 b:[2 3]}	'{"a":1,"b":[2,3]}'	bare emit auto-picks json for a Map
import "aql:emitlang"  emit [1 2 3]	'[1,2,3]'	a List auto-emits as a json array
import "aql:emitlang"  emit "hi"	'"hi"'	a scalar String auto-emits as json
import "aql:emitlang"  emit json {a:1 b:"hi"}	'{"a":1,"b":"hi"}'	explicit json kind
import "aql:emitlang"  EmitLang.emit_json {a:1} {} end	'{"a":1}'	emit is pure sugar — the desugared standard call is equivalent
#
# §2  opts — pretty / compact / indent
import "aql:emitlang"  emit json {pretty:true} {a:1}	'{\n  "a": 1\n}'	opts {pretty:true} → indented json (2-space default)
import "aql:emitlang"  emit json {indent:4} {a:1}	'{\n    "a": 1\n}'	opts {indent:N} → N-space indentation
import "aql:emitlang"  emit json {} {a:1}	'{"a":1}'	an explicit empty opts map → compact (the default)
import "aql:emitlang"  def o {pretty:true} end  emit o {a:1}	'{\n  "a": 1\n}'	the opts map may be a variable — a bare leading word that resolves to a value is opts, not a kind
import "aql:emitlang"  emit json {indent:-1} {a:1}	'{\n"a": 1\n}'	a negative indent is clamped to 0 (newline-only) — never a strings.Repeat panic
#
# §3  jsonic — bare identifier keys
import "aql:emitlang"  emit jsonic {a:1 b:"hi"}	'{a:1,b:"hi"}'	jsonic drops quotes for identifier keys
import "aql:emitlang"  emit jsonic {"a b":1}	'{"a b":1}'	a non-identifier key stays quoted
#
# §4  yaml — block style
import "aql:emitlang"  emit yaml {a:1}	'a: 1'	a flat map renders one key: value line
import "aql:emitlang"  emit yaml [1 2]	'- 1\n- 2'	a list renders `- ` items
#
# §5  csv / tsv — tabular, list of records
import "aql:emitlang"  emit csv [{a:1 b:2} {a:3 b:4}]	'a,b\n1,2\n3,4\n'	csv header from the first record's keys, then rows
import "aql:emitlang"  emit tsv [{a:1 b:2}]	'a\tb\n1\t2\n'	tsv uses a tab separator
import "aql:emitlang"  emit csv {separation:";"} [{a:1 b:2}]	'a;b\n1;2\n'	opts {separation:sep} overrides the csv separator
#
# §6  toml / ini — map shapes
import "aql:emitlang"  emit toml {a:1 b:"hi"}	'a = 1\nb = "hi"'	a flat map → top-level key = value lines
import "aql:emitlang"  emit toml {server:{host:"x"}}	'[server]\nhost = "x"'	a nested map → a [table] header
import "aql:emitlang"  emit toml {"a b":1}	'"a b" = 1'	a key that is not a bare TOML key is quoted so it round-trips
import "aql:emitlang"  emit ini {db:{user:"a"}}	'[db]\nuser=a'	a {section:{k:v}} map → an [section] block
