# AQL Language Specification: the aql:struct module
# Format: input<TAB>expected<TAB>description
#
# Loadable module of voxgig-struct data-manipulation utilities. These
# words were moved out of the core registry; they are reached only after
# `import`, under the `Struct` namespace: `"aql:struct-util" import end
# StructUtil.word args`.
#
# ─────────────────────────────────────────────────────────────────────
# §1  merge — deep, index-wise merge (later argument wins)
"aql:struct-util" import end StructUtil.merge {a:1 b:2} {b:3 c:4}	{a:1 b:3 c:4}	overlapping key b is overridden
"aql:struct-util" import end StructUtil.merge {a:{x:1 y:2}} {a:{y:3 z:4}}	{a:{x:1 y:3 z:4}}	merge recurses into nested maps
#
# §2  getpath — read a dotted path
"aql:struct-util" import end StructUtil.getpath "a.b" {a:{b:42}}	42	nested path read
"aql:struct-util" import end StructUtil.getpath "name" {name:'Alice'}	'Alice'	top-level key read
#
# §3  setpath — write at a path (returns a new structure)
"aql:struct-util" import end StructUtil.setpath {a:1} "b" 99	{a:1 b:99}	add a key by path
"aql:struct-util" import end StructUtil.setpath {a:{b:1} c:2} "a.b" 99	{a:{b:99} c:2}	nested set keeps the outer wrapper + siblings
"aql:struct-util" import end StructUtil.setpath {a:1} "x.y" 5	{a:1 x:{y:5}}	a nested path creates intermediate maps
"aql:struct-util" import end StructUtil.setpath {xs:[10 20 30]} "xs.1" 9	{xs:[10 9 30]}	a numeric segment indexes a list
#
# §4  clone — deep copy (forward or stack form)
"aql:struct-util" import end StructUtil.clone {a:1 b:2}	{a:1 b:2}	forward form
"aql:struct-util" import end {a:1 b:2} StructUtil.clone	{a:1 b:2}	stack form also works
#
# §5  items — map entries as [key value] pairs
"aql:struct-util" import end StructUtil.items {a:1 b:2}	[['a' 1] ['b' 2]]	ordered key/value pairs
#
# §6  validate — check data against a shape spec (returns the validated spec)
"aql:struct-util" import end StructUtil.validate {name:"$STRING"} {name:'Alice'}	{name:'$STRING'}	conforming data validates against the spec
#
# §7  transform — shape data via a spec (forward: spec then data)
"aql:struct-util" import end StructUtil.transform {x:99} {a:'1'}	{x:99}	literal spec value passes through
#
# §8  jsonify — serialise a value (also moved here; output verified in the
#     Go tests, the pretty-printed multiline form isn't tsv-expressible)
#
# §8b  nodify — project a value to its Node/Scalar form (pass-through when no
#      projection behavior is registered for the type)
"aql:struct-util" import end StructUtil.nodify {a:1 b:2}	{a:1 b:2}	plain Map passes through
#
# §9  swap form dispatches through the namespace
"aql:struct-util" import end {a:1} StructUtil.merge {b:2}	{a:1 b:2}	data-on-stack + forward arg
#
# §10  negative — unbound without import
StructUtil.merge {a:1} {b:2}	ERROR:undefined_word	`Struct` is unbound without `import`
jsonify {a:1}	ERROR:undefined_word	jsonify also moved out of core
#
# §11  inject — resolve backtick `$`-path references against a store
"aql:struct-util" import end StructUtil.inject {greeting:'`name`'} {name:'Alice'}	{greeting:'Alice'}	`name` is replaced from the store
#
# §12  selector — query-select children matching a spec
"aql:struct-util" import end StructUtil.selector {color:'red'} {a:{color:'red'} b:{color:'blue'}}	[{$KEY:'a' color:'red'}]	matching child carries its $KEY
#
# §13  walk — collect leaf path/value pairs
"aql:struct-util" import end StructUtil.walk {a:1 b:{c:2}}	[{path:'a' value:1} {path:'b.c' value:2}]	dotted leaf paths
#
# §14  jsonify — serialise a value. Scalars render on one line (the
#      pretty-printed multiline form for maps/lists isn't tsv-expressible —
#      see §8 — so the Map output is verified in the Go tests).
"aql:struct-util" import end StructUtil.jsonify 42	'42'	a number
"aql:struct-util" import end StructUtil.jsonify 'hi'	'"hi"'	a string is JSON-quoted
"aql:struct-util" import end StructUtil.jsonify true	'true'	a boolean
#
# §  reify — hydrate a class instance from JSON text or a Node; the
#    inverse of the instance-aware jsonify. Explicit class target (with
#    $class cross-check) or tor-union target ($class selects the
#    member, bounded to the union). Hydration routes through make:
#    defaults fill, required fields enforced, predicates run, unknown
#    keys error. jsonify carries $class on class instances and escapes
#    user $-keys to $$ (spoof-proof round-trip).
"aql:struct-util" import end  def Point class {x:1, y:2} def p (StructUtil.reify Point {x:9}) p typeof	Point	reify from a Node constructs a typed instance
"aql:struct-util" import end  def Point class {x:1, y:2} (StructUtil.reify Point {x:9}) get y	2	…with schema defaults filling omitted fields
"aql:struct-util" import end  def Point class {x:1} (StructUtil.reify Point (StructUtil.jsonify (make Point {x:9}))) get x	9	full jsonify→reify round trip through JSON text
"aql:struct-util" import end  def Circle class {r:1.0} def Square class {side:1.0} def Shape (Circle tor Square) (StructUtil.reify Shape (StructUtil.jsonify (make Square {side:4.0}))) typeof	Square	union-bounded: $class selects the member
"aql:struct-util" import end  def Circle class {r:1.0} def Square class {side:1.0} def Shape (Circle tor Square) StructUtil.reify Shape {r:2.0}	ERROR:needs a $class	a union target without $class is a loud error
"aql:struct-util" import end  def Point class {x:1} StructUtil.reify Point {z:5}	ERROR:unknown field	an undeclared key errors (hydration is sealed construction)
"aql:struct-util" import end  def Radius (Float gte 0.0) def Circle class {r:Radius} StructUtil.reify Circle '{"r": -1.5}'	ERROR:does not satisfy	predicate field types run during hydration
"aql:struct-util" import end  def Radius (Float gte 0.0) def Circle class {r:Radius} (StructUtil.reify Circle '{"r": 5}') get r	5.0	schema-driven recovery: a JSON integer lands as the Float the field declares
"aql:struct-util" import end  StructUtil.reify Integer {x:1}	ERROR:must be a class	a non-class target is rejected
