# AQL Language Specification: the aql:decision module
# Format: input<TAB>expected<TAB>description
#
# Loadable DSL module for declarative decision logic, written entirely in
# AQL. Import binds the `Decision` namespace, then words are called via
# dot-access: `"aql:decision" import end  Decision.word args`. It exports
# refined Record TYPES (Cond, Pred, Rule, DTable, DTree, BranchNode,
# LeafNode), builder words that construct those records, and evaluators
# that run conditions / predicates / tables / trees against an input map.
#
# ─────────────────────────────────────────────────────────────────────
# §1  exported record types — each evaluates to its refine-Record shape
"aql:decision" import end Decision.Cond	record{field:Atom op:String value:Any}	Cond: a single field/op/value condition
"aql:decision" import end Decision.Pred	record{kind:String op:String children:Any}	Pred: a compound (all/any/not) predicate group
"aql:decision" import end Decision.Rule	schema<Record/Rule>[R]	Rule: a GENERIC when→then pairing — R is the result type
"aql:decision" import end Decision.Rule of [Map]	record{when:Map then:Map}	…instantiating recovers the concrete record shape
"aql:decision" import end Decision.DTable	schema<Record/DTable>[R]	DTable: generic in R (defaulted — rule lists give no direct evidence)
"aql:decision" import end Decision.DTable of []	record{kind:String rules:List hit-policy:String}	…and fully defaults to the Any-result table
"aql:decision" import end Decision.DTree	schema<Record/DTree>[R]	DTree: generic in R, defaulted like DTable
"aql:decision" import end Decision.BranchNode	record{id:Atom kind:String branches:List}	BranchNode: an interior tree node
"aql:decision" import end Decision.LeafNode	schema<Record/LeafNode>[R]	LeafNode: a terminal node, generic in its result type
"aql:decision" import end Decision.LeafNode of [Integer]	record{id:Atom kind:String result:Integer}	…instantiating pins the result field
"aql:decision" import end (5 is Decision.Comparable)	true	the scalar builtins expose the Comparable surface
"aql:decision" import end ({a:1} is Decision.Comparable)	false	…a map is not Comparable (no cmp contract)
#
# §2  builders — construct condition / predicate / rule records
"aql:decision" import end Decision.cond age/q "gte" 18	{field:age/q op:'gte' value:18}	cond field op value → a Cond record
"aql:decision" import end Decision.all-of [{field:"age" op:"gte" value:18} {field:"score" op:"gt" value:50}]	{kind:'group' op:'all' children:(quote [{field:'age' op:'gte' value:18} {field:'score' op:'gt' value:50}])}	all-of: every child must hold
"aql:decision" import end Decision.any-of [{field:"age" op:"gte" value:18} {field:"score" op:"gt" value:50}]	{kind:'group' op:'any' children:(quote [{field:'age' op:'gte' value:18} {field:'score' op:'gt' value:50}])}	any-of: at least one child must hold
"aql:decision" import end Decision.not-of {field:"age" op:"lt" value:18}	{kind:'group' op:'not' children:{field:'age' op:'lt' value:18}}	not-of: negate a single condition
"aql:decision" import end Decision.make-rule {field:"age" op:"gte" value:18} {category:"adult"}	{when:{field:'age' op:'gte' value:18} then:{category:'adult'}}	make-rule when then → a Rule record
#
# §3  table & tree builders
"aql:decision" import end Decision.make-table [{when:{field:"age" op:"lt" value:18} then:{category:"minor"}} {when:{field:"age" op:"gte" value:18} then:{category:"adult"}}]	{kind:'table' rules:(quote [{then:{category:'minor'} when:{field:'age' op:'lt' value:18}} {then:{category:'adult'} when:{field:'age' op:'gte' value:18}}]) hit-policy:'first'}	make-table defaults to the 'first' hit policy
"aql:decision" import end def t (Decision.make-table [{when:{field:"x" op:"gt" value:0} then:{s:"pos"}}]) t "unique" Decision.with-policy	{kind:'table' rules:(quote [{then:{s:'pos'} when:{field:'x' op:'gt' value:0}}]) hit-policy:'unique'}	with-policy swaps the hit policy on a table
"aql:decision" import end Decision.make-branch root/q [{when:{field:"age" op:"gte" value:18} next:"adult"}]	{id:root/q kind:'branch' branches:(quote [{next:'adult' when:{field:'age' op:'gte' value:18}}])}	make-branch id branches → a BranchNode record
"aql:decision" import end Decision.make-leaf adult/q {category:"adult"}	{id:adult/q kind:'leaf' result:{category:'adult'}}	make-leaf id result → a LeafNode record
"aql:decision" import end Decision.make-tree root/q [{id:"root" kind:"leaf" result:"x"}]	{kind:'tree' root:root/q nodes:(quote [{id:'root' kind:'leaf' result:'x'}])}	make-tree root nodes → a DTree record
#
# §4  apply-op — the primitive comparison applied by eval-cond.
# The relational form is generic over the Comparable SURFACE
# (gen [(T extends Comparable)]) — non-Comparable operands are a loud
# signature error, not a silent false.
"aql:decision" import end Decision.apply-op 18 "gte" 25	true	lhs=25 gte rhs=18 → true
"aql:decision" import end Decision.apply-op 25 "gte" 18	false	lhs=18 gte rhs=25 → false
"aql:decision" import end Decision.apply-op "a" "lt" "b"	false	Strings are Comparable (lhs='b' lt rhs='a' → false)
"aql:decision" import end Decision.apply-op {a:1} "lt" 5	ERROR:not_comparable	a map is not Comparable — the bounded sig rejects it and the Any overload raises on the ordering op
#
# §5  eval-cond — test one condition against an input map
"aql:decision" import end {age:25} {field:"age" op:"gte" value:18} Decision.eval-cond	true	age 25 satisfies gte 18
"aql:decision" import end {age:15} {field:"age" op:"gte" value:18} Decision.eval-cond	false	age 15 fails gte 18
#
# §6  eval-pred — evaluate a compound predicate
"aql:decision" import end def p (Decision.all-of [{field:"age" op:"gte" value:18} {field:"score" op:"gt" value:50}]) {age:25 score:80} p Decision.eval-pred	true	all-of holds for age=25, score=80
#
# §7  eval-table / eval-tree / decide — full evaluators
"aql:decision" import end def tbl (Decision.make-table [{when:{field:"age" op:"lt" value:18} then:{category:"minor"}} {when:{field:"age" op:"gte" value:18} then:{category:"adult"}}]) {age:25} tbl Decision.eval-table	{category:'adult'}	first matching rule wins
"aql:decision" import end def tree ({kind:"tree" root:"root" nodes:[{id:"root" kind:"branch" branches:[{when:{field:"age" op:"lt" value:18} next:"minor"} {when:{field:"age" op:"gte" value:18} next:"adult"}]} {id:"minor" kind:"leaf" result:"too-young"} {id:"adult" kind:"leaf" result:"welcome"}]}) {age:25} tree Decision.eval-tree	'welcome'	walk a branch to its leaf result
"aql:decision" import end def model ({kind:"table" hit-policy:"first" rules:[{when:{field:"x" op:"gt" value:0} then:{sign:"positive"}}]}) {x:5} model Decision.decide	{sign:'positive'}	decide dispatches on model kind (table/tree)
