# boru Language Specification: Function VALUES at the pointer dispatch like words
# Format: input<TAB>expected<TAB>description
#
# A Function value that reaches the pointer (typically a `get` result — a
# map field, a module export) dispatches with the same forward+stack
# matching as a named word (the unified collection rule). Historically a
# non-anonymous `fn` value whose match needed FORWARD tokens silently
# stayed on the stack as data while the equivalent afn lambda dispatched
# (the F4 finding, design/MINILANG.0.md §10); execFnDefLiteral now routes
# such a match through forward parking and re-processes it against the
# stack. No-match cases still leave the value as data, and macro values
# stay data (lang/spec/macro.tsv §5).
#
# ─────────────────────────────────────────────────────────────────────
# §1  forward dispatch of stored fn values
def m {f: (fn [[a:Integer][Integer][a add 1]])}  m.f 5	6	a stored fn collects its forward arg like a word
def m {f: (fn [[a:Integer][Integer][a add 1]])}  5 m.f	6	stack form (mirror equivalence)
def m {f: (fn [[a:Integer b:Integer][Integer][(a mul 100) add b]])}  m.f 2 3	203	two forward args bind in sig order
def m {f: (fn [[a:Integer b:Integer][Integer][(a mul 100) add b]])}  3 m.f 2	203	mixed form: sig[0] forward, sig[1] stack
def m {f: ([a:Integer] => [a add 1])}  m.f 5	6	afn parity — lambdas dispatched this way already
#
# §2  module exports — fn values exported by inline modules call like words
import module [export "X" {f: (fn [[a:Integer][Integer][a add 1]])}]  X.f 5	6	a module-exported fn collects forward args
import module [import "boru:string-util" export "X" {up: (fn [[s:String][String][StringUtil.upper s]])}]  X.up 'ab'	'AB'	the export body runs in MODULE scope (module-private import resolves)
#
# §3  negatives — no match leaves the value as data; module scope is sealed
def m {f: (fn [[a:Integer][Integer][a add 1]])}  m.f	fn [[a:Integer][Integer][word(a) word(add) 1]]	bare value, no args: stays data
def m {f: (fn [[a:Integer][Integer][a add 1]])}  m.f 'x'	fn [[a:Integer][Integer][word(a) word(add) 1]] 'x'	type mismatch: no dispatch — the fn stays data, 'x' strands on top
import "boru:string-util"  import module [export "X" {up: (fn [[s:String][String][StringUtil.upper s]])}]  X.up 'ab'	ERROR:undefined_word	an OUTER import does not leak into the module body's scope
#
# §4  a paren expression resolving to a FUNCTION WORD never induces a call
#     (NUR035). `Mod.word arg` lowers to `( Mod dot word ) arg`, so the
#     resolved fn value lands alone inside a synthetic group with its
#     argument on the far side of the close paren — a forward-scan boundary
#     — and the open paren barring a prefix operand the other way. The group
#     RESOLVES the word; the call belongs to whatever encloses it. Before
#     this, dispatch happened inside the group against an argument window
#     that is empty by construction, so a word with a 0-arg overload matched
#     THAT and its arg-taking signatures were unreachable — silently, as a
#     wrong value rather than an error.
#
#     A group the USER wrote is unaffected: `(g)` still means "call g".
#     Only the reach lowering's own group is tagged (expandReach).
import module [ def w fn [[] [String] ["zero"]  [x:String] [String] [x]] export "M" {w: w/r} ] end  M.w "one"	'one'	forward form reaches the ARG-TAKING signature of a mixed-arity module export
import module [ def w fn [[] [String] ["zero"]  [x:String] [String] [x]] export "M" {w: w/r} ] end  "one" M.w	'one'	and so does the stack form — the open paren no longer hides the prefix operand
import module [ def w fn [[] [String] ["zero"]  [x:String] [String] [x]] export "M" {w: w/r} ] end  M.w	'zero'	with no argument the 0-arg signature still answers, one step later
import module [ def w fn [[] [String] ["zero"]  [x:String] [String] [x]] export "M" {w: w/r} ] end  size (M.w)	4	and a user paren around the bare form still dispatches inside it, so a consumer receives the RESULT
#
# §5  a failed dispatch is LOUD, wherever the value would have gone
#     (design/FN-VALUE-DISPATCH.0.md). The old contract marked the value
#     and let the end-of-run drain judge it, so any consumer at all — a
#     `print`, a `def`, an Any slot — silenced a real dispatch failure.
#     The judgement is now made where the call is, so what happens to the
#     value afterwards cannot change the verdict. `/r` is how a caller
#     says the function IS the value it wanted.
#
#     The §3 rows above stay as they are: those fn values are ANONYMOUS,
#     and an anonymous value with no matched positions is data by
#     construction. This section is about NAMED functions — a module
#     export, a `def`ed fn, a `usurp`ed value — which is where a call was
#     meant.
#
#     Raising at the SITE also makes the failure CATCHABLE — a `do […] error
#     […]` around the call traps it like any other error, where the old
#     end-of-run drain fired outside every handler. That is pinned as a Go
#     test (lang/go/fnvalue_loud_dispatch_test.go) rather than a row here:
#     check mode evaluates a code body's parens on its own straight line, so
#     it reports the call as an error while the run traps it, and a row would
#     read as a checker false positive. The divergence is pre-existing and
#     unchanged by this contract (design/FN-VALUE-DISPATCH.0.md §6).
import module [ def w fn [[x:Integer] [Integer] [x]] export "M" {w: w/r} ] end  M.w "x"	ERROR:uncalled_function	a named export called with a mismatched arg raises AT THE CALL
import module [ def w fn [[x:Integer] [Integer] [x]] export "M" {w: w/r} ] end  print (M.w "x")	ERROR:uncalled_function	and a consumer around it does not silence it — the old drain never fired here
import module [ def w fn [[x:Integer] [Integer] [x]] export "M" {w: w/r} ] end  def y (M.w "x")  y	ERROR:uncalled_function	nor does binding the result with def
import module [ def w fn [[x:Integer] [Integer] [x]] export "M" {w: w/r} ] end  M.w	fn w[[x:Integer][Integer][word(x)]]	a bare reference with no argument is still a VALUE, not a call
import module [ def w fn [[x:Integer] [Integer] [x]] export "M" {w: w/r} ] end  M.w/r	fn w[[x:Integer][Integer][word(x)]]	/r means "the function is what I want" — no dispatch, no error
import module [ def w fn [[x:Integer] [Integer] [x]] export "M" {w: w/r} ] end  def g M.w/r  g 5	5	and the parked value is still callable, which is what a caller wanted it for
